Official DOE Name	Organization	Type of School	Street	City	State	Teams	Total team leads	Total team members	Expeditions created	Expeditions published	Lessons viewed	Lessons logged	Lessons reviewed	Lessons created (forked or new)	Total research posters published by all team members	Total research posters published by all team leads	Events registered	Events attended
	Academy for New Americans		30-14 30th St	Qns	NY	1	2	0	0	0	0	0	0	0	0	0	0	0
	Queens Collegiate		16701 Gothic Drive	Queens	NY	1	2	0	0	0	5	0	0	0	0	0	3	0
	P.S./I.S. 49 DOROTHY BONAWIT KOLE		63-60 80th Street	Queens	New York	1	2	0	0	0	0	0	0	0	0	0	1	0
	P.S. 183 DR. RICHARD R. GREEN		2-45 BEACH 79 STREET	Queens	New York	2	4	0	0	0	0	0	0	0	0	0	2	0
	P.S. 153 MASPETH ELEMENTARY		60-02 60 LANE	Queens	New York	2	4	0	0	0	0	0	0	0	0	0	1	0
	IS 141 The Steinway School		37-11 21 AVENUE	Queens	NY	1	2	0	0	0	6	0	0	0	0	0	0	0
	I.S. 25 ADRIEN BLOCK		34-65 192 STREET	QUEENS	NY	1	2	0	0	0	0	0	0	0	0	0	1	0
	I.S. 5 THE WALTER CROWLEY SCHOOL		50-40 JACOBUS STREET	Queens	New York	3	6	0	0	0	0	0	0	0	0	0	1	1
	PS 87		67-54 80 STREET	Queens	New York	1	2	0	0	0	0	0	0	0	0	0	1	0
	PS/IS 102		55-24 Van Horn St	Queens	New York	1	2	0	0	0	0	0	0	0	0	0	1	1
	I.S. 25 ADRIEN BLOCK		34-65 192 STREET	QUEENS	NY	1	2	0	0	0	0	0	0	0	0	0	1	0
	Goldie Maple Academy		3-65 BEACH 56 STREET	Queens	New York	1	2	0	0	0	0	0	0	0	0	0	1	0
	J.H.S. 185 EDWARD BLEEKER		147-26 25 DRIVE	Queens	New York	2	4	0	0	0	0	0	0	0	0	0	1	0
	P.S. 229 Emanual Kaplan		67-25 51 ROAD	Queens	New York	3	6	0	0	0	1	0	0	0	0	0	1	0
	IS 126 ALBERT SHANKER SCHOOL FOR VISUAL AND PERFORMING ARTS		31-51 21 STREET	Queens	New York	3	6	0	0	0	0	0	0	0	0	0	2	2
	Metropolitan Expeditionary Learning School (MELS)		91-30 METROPOLITAN AVENUE	QUEENS	NY	2	3	0	0	0	32	0	0	0	0	0	1	0
	The 30th Avenue School		28-37 29th St	Queens	New York	1	2	0	0	0	0	0	0	0	0	0	1	0
	Grover Cleveland High School		21-27 Himrod St	Queens	New York	2	4	0	0	0	0	0	0	0	0	0	1	0
	PS 195Q		253-50. 149 St	Rosedale	NY	1	1	0	0	0	0	0	0	0	0	0	0	0
	PS/IS 270		233_15 Merrick Blvd	Rosedale	NY	1	2	0	0	0	1	0	0	0	0	0	18	11
	P.S. 52		450 Buel Avenue	State	New York	0	1	0	0	0	0	0	0	0	0	0	0	0
	The Harbor View School - PS 59 (31R059)		300 Richmond Terrace	Staten Island	NY	8	8	0	0	0	0	0	0	0	0	0	1	1
	Staten Island Homeschoolers		Amboy Road	Staten Island	NY	0	1	0	0	0	4	0	0	0	0	0	0	0
	PS 69		144 Keating place	Staten Island	New york	1	1	0	0	0	0	0	0	0	0	0	0	0
	IS 51 Edwin Markham		20 HOUSTON STREET	Staten Island	New York	3	6	2	2	0	13	0	0	0	0	0	1	1
	PS 39 Francis J. Murphy Jr.		71 Sand Lane	Staten Island	New York	1	2	0	0	0	2	0	0	0	0	0	1	1
	PS/IS 25R South Richmond H.S.		6581 HYLAN BOULEVARD	Staten Island	NY	0	0	0	0	0	0	0	0	0	0	0	0	0
	P.S.45R John Tyler School		58 Lawrence Avenue	Staten Island	NY	1	1	0	0	0	0	0	0	0	0	0	0	0
	Eltingville Lutheran School		300 Genesee Avenue	Staten Island	New York	1	2	0	0	0	8	0	0	0	0	0	0	0
	St. John Villa Academy		26 Landis Ave	Staten Island	NY	1	1	0	0	0	1	0	0	0	0	0	0	0
	I.S. 49 BERTA A. DREYFUS		101 WARREN STREET	STATEN ISLAND	NY	1	2	0	0	0	0	0	0	0	0	0	1	0
	PS 46		41 Reid Ave	Staten Island	NY	1	1	0	0	0	0	0	0	0	0	0	0	0
